日期,城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
2015-7-21,新北市,烏來區,福山植物園,13.5℃,100,0.5
2015-7-22,金門縣,金寧鄉,金寧,13.3℃,86,0
2015-7-23,臺中市,大肚區,大肚,18.4℃,66,0
2015-7-24,嘉義縣,阿里山鄉,新美,26.1℃,49,0
2015-7-25,雲林縣,北港鎮,北港,21.2℃,66,0
2015-7-26,新竹市,香山區,香山濕地,14.9℃,86,1
2015-7-27,屏東縣,瑪家鄉,瑪家,23.8℃,81,0
2015-7-28,高雄市,六龜區,六龜,27.6℃,59,-99
2015-7-29,臺東縣,長濱鄉,長濱,18.3℃,89,0
2015-7-30,臺東縣,金峰鄉,金峰嘉蘭,21.7℃,76,0
2015-7-31,高雄市,湖內區,湖內,25.5℃,67,-99
2015-8-1,新北市,深坑區,深坑,13.7℃,95,0.5
2015-8-2,雲林縣,崙背鄉,崙背,22.4℃,62,0
2015-8-3,新北市,萬里區,野柳,13.8℃,93,1
2015-8-4,屏東縣,牡丹鄉,牡丹池山,18.6℃,96,0
2015-8-5,南投縣,名間鄉,名間,24.5℃,57,0
2015-8-6,嘉義縣,大埔鄉,馬頭山,27.2℃,55,0
2015-8-7,臺中市,和平區,雪山東峰A,9.9℃,30,0
2015-8-8,彰化縣,埔心鄉,埔心,22℃,74,0
2015-8-9,宜蘭縣,大同鄉,玉蘭,12.9℃,100,5.5
2015-8-10,新竹市,東區,新竹市東區,14.8℃,81,2
2015-8-11,屏東縣,林邊鄉,林邊,25.2℃,76,0
2015-8-12,臺南市,安南區,城西,20.3℃,81,0
2015-8-13,苗栗縣,後龍鎮,後龍,16.3℃,80,0.5
2015-8-14,花蓮縣,吉安鄉,吉安光華,19.3℃,76,0
2015-8-15,臺東縣,達仁鄉,南田,23.2℃,81,0
2015-8-16,南投縣,信義鄉,神木村,22.2℃,58,0
2015-8-17,花蓮縣,富里鄉,東里,18.8℃,84,0
2015-8-18,彰化縣,二林鎮,二林,19.3℃,73,0
2015-8-19,高雄市,大寮區,大寮,25.8℃,69,-99
2015-8-20,臺東縣,太麻里鄉,歷坵,18.6℃,93,0
2015-8-21,臺東縣,蘭嶼鄉,蘭嶼高中,23℃,88,0
2015-8-22,桃園市,桃園區,桃園,15.6℃,77,2.5
2015-8-23,高雄市,林園區,林園,26.1℃,73,0
2015-8-24,宜蘭縣,南澳鄉,樟樹山,15.9℃,95,0
2015-8-25,臺北市,士林區,社子,17.5℃,78,2.5
2015-8-26,桃園市,龍潭區,龍潭,14.4℃,78,10.5
2015-8-27,雲林縣,水林鄉,蔦松,21.7℃,67,0
2015-8-28,屏東縣,恆春鎮,貓鼻頭,25.2℃,74,0
2015-8-29,花蓮縣,壽豐鄉,水璉,17.4℃,87,1
2015-8-30,新竹縣,關西鎮,關西,16.2℃,75,4
2015-8-31,苗栗縣,南庄鄉,南庄,15.2℃,79,2.5
2015-9-1,臺南市,歸仁區,媽廟,26.2℃,72,0
2015-9-2,雲林縣,元長鄉,元長,21.4℃,67,0
2015-9-3,臺南市,後壁區,後壁,23.8℃,62,0
2015-9-4,新北市,新莊區,新莊,16.7℃,73,-99
2015-9-5,臺南市,山上區,山上,24.4℃,94,-99
2015-9-6,臺中市,大甲區,大甲,18.7℃,67,0
2015-9-7,南投縣,仁愛鄉,廬山,19.4℃,54,0
2015-9-8,屏東縣,萬巒鄉,赤山,27.5℃,63,0
2015-9-9,苗栗縣,竹南鎮,竹南,16.2℃,78,1
2015-9-10,金門縣,烏坵鄉,烏坵,11.2℃,88,0
2015-9-11,臺南市,將軍區,鯤鯓國小,20.1℃,82,0
2015-9-12,南投縣,南投市,南投,23.8℃,58,-99
2015-9-13,臺北市,內湖區,內湖,15.9℃,94,1.5
2015-9-14,臺中市,太平區,中竹林,21℃,64,0
2015-9-15,臺南市,安南區,安南,23.2℃,81,0
2015-9-16,嘉義縣,民雄鄉,民雄,22.9℃,63,0
2015-9-17,臺北市,松山區,松山,15.8℃,70,1
2015-9-18,高雄市,甲仙區,甲仙,28.1℃,64,0
2015-9-19,宜蘭縣,頭城鎮,坪林石牌,13.2℃,100,0
2015-9-20,新北市,瑞芳區,水湳洞,14.2℃,93,1
2015-9-21,臺東縣,池上鄉,池上,19.1℃,81,0
2015-9-22,新北市,金山區,金山,13.1℃,99,11
2015-9-23,新北市,石門區,富貴角,11.5℃,99,49.5
2015-9-24,花蓮縣,壽豐鄉,鯉魚潭,17℃,95,1
2015-9-25,臺南市,玉井區,玉井,27.7℃,65,0
2015-9-26,臺北市,北投區,石牌,17.6℃,71,-99
2015-9-27,臺中市,和平區,烏石坑,18.1℃,77,0
2015-9-28,桃園市,復興區,復興,13.9℃,82,0
2015-9-29,苗栗縣,大湖鄉,大湖,17.1℃,73,1.5
2015-9-30,花蓮縣,秀林鄉,和中,18.4℃,71,0
2015-10-1,南投縣,仁愛鄉,仁愛,21.8℃,49,0
2015-10-2,基隆市,中正區,基隆嶼,12.8℃,100,7.5
2015-10-3,臺中市,和平區,梨山,15.3℃,53,0
2015-10-4,宜蘭縣,三星鄉,三星,15.6℃,94,0
2015-10-5,彰化縣,埔鹽鄉,埔鹽,20.4℃,70,0
2015-10-6,臺中市,東勢區,東勢,19.4℃,71,0
2015-10-7,新北市,林口區,林口,12.6℃,93,5
2015-10-8,花蓮縣,鳳林鎮,鳳林,18.7℃,99,0
2015-10-9,屏東縣,佳冬鄉,佳冬,23.4℃,85,0
2015-10-10,雲林縣,莿桐鄉,莿桐,22.1℃,60,0
2015-10-11,南投縣,埔里鎮,埔里,26℃,51,0
2015-10-12,臺東縣,太麻里鄉,大溪山,19.1℃,91,0
2015-10-13,臺南市,鹽水區,鹽水,23.5℃,64,0
2015-10-14,基隆市,七堵區,七堵,12.6℃,-9900,27
2015-10-15,新北市,貢寮區,澳底,14.1℃,96,14.5
2015-10-16,屏東縣,九如鄉,九如,29.3℃,69,0
2015-10-17,高雄市,鳳山區,鳳山,27.2℃,70,-99
2015-10-18,臺東縣,鹿野鄉,瑞和,19.8℃,79,0
2015-10-19,花蓮縣,玉里鎮,德武,17.8℃,100,1.5
2015-10-20,花蓮縣,瑞穗鄉,舞鶴,16.8℃,100,1
2015-10-21,高雄市,茂林區,茂林蝶谷,27.9℃,50,0
2015-10-22,花蓮縣,富里鄉,富里,19℃,86,0
2015-10-23,屏東縣,獅子鄉,丹路,22.6℃,74,0
2015-10-24,雲林縣,林內鄉,林內,23.8℃,60,0
2015-10-25,屏東縣,牡丹鄉,旭海,20.5℃,87,0
2015-10-26,高雄市,彌陀區,彌陀,24.4℃,77,0
2015-10-27,屏東縣,牡丹鄉,高士,19.2℃,93,0
2015-10-28,南投縣,仁愛鄉,合歡山,6.5℃,70,0
2015-10-29,宜蘭縣,五結鄉,五結,16.6℃,79,0
2015-10-30,宜蘭縣,南澳鄉,東澳,15.1℃,92,5.5
2015-10-31,臺南市,北門區,北門,20.8℃,75,0
2015-11-1,苗栗縣,苑裡鎮,苑裡,17.4℃,99,-99
2015-11-2,雲林縣,虎尾鎮,虎尾,22.6℃,63,0
2015-11-3,嘉義縣,溪口鄉,溪口,22.3℃,64,0
2015-11-4,新竹縣,寶山鄉,寶山,15.6℃,83,1.5
2015-11-5,屏東縣,東港鎮,東港,23.7℃,82,0
