日期,城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
2016-2-14,屏東縣,佳冬鄉,塭仔,22.8℃,87,0
2016-2-15,臺南市,麻豆區,麻豆,24.9℃,70,0
2016-2-16,屏東縣,三地門鄉,尾寮山,22.3℃,66,0
2016-2-17,屏東縣,獅子鄉,獅子,23.8℃,69,0
2016-2-18,桃園市,中壢區,中壢,13.3℃,93,8
2016-2-19,澎湖縣,望安鄉,花嶼,17.4℃,82,0
2016-2-20,臺中市,龍井區,龍井,20.2℃,63,-99
2016-2-21,臺南市,北門區,蚵寮,19.8℃,81,0
2016-2-22,高雄市,岡山區,岡山,27.1℃,51,0
2016-2-23,彰化縣,秀水鄉,秀水,20.7℃,66,-99
2016-2-24,桃園市,觀音區,觀音,12.6℃,93,1.5
2016-2-25,南投縣,信義鄉,玉山風口,2℃,45,-99
2016-2-26,高雄市,彌陀區,南寮,22℃,85,0
2016-2-27,嘉義縣,新港鄉,新港,22℃,66,0
2016-2-28,屏東縣,霧臺鄉,阿禮,20.2℃,73,-99
2016-2-29,宜蘭縣,頭城鎮,石城,14.6℃,95,56
2016-3-1,新北市,瑞芳區,五分山,11.1℃,99,23
2016-3-2,臺南市,關廟區,關廟,24.9℃,74,0
2016-3-3,雲林縣,口湖鄉,宜梧,20.1℃,74,0
2016-3-4,新竹縣,新埔鎮,打鐵坑,14.3℃,83,5
2016-3-5,臺中市,和平區,中坑,19.3℃,75,0
2016-3-6,宜蘭縣,頭城鎮,頭城,17.1℃,80,0
2016-3-7,宜蘭縣,南澳鄉,西帽山,11.1℃,100,24.5
2016-3-8,臺南市,柳營區,柳營,25.2℃,62,0
2016-3-9,花蓮縣,光復鄉,光復,18.6℃,84,4
2016-3-10,臺東縣,達仁鄉,土阪,21.4℃,81,0
2016-3-11,苗栗縣,銅鑼鄉,銅鑼,16.5℃,80,2
2016-3-12,臺中市,外埔區,外埔,19.5℃,90,-99
2016-3-13,臺中市,大雅區,大雅(中科園區),19.8℃,67,-99
2016-3-14,臺中市,和平區,審馬陣A,9.3℃,40,0
2016-3-15,臺東縣,綠島鄉,綠島,20.3℃,94,0
2016-3-16,花蓮縣,秀林鄉,大禹嶺,13℃,39,0
2016-3-17,彰化縣,福興鄉,福寶,17℃,82,0
2016-3-18,高雄市,路竹區,路竹,27.5℃,63,-99
2016-3-19,雲林縣,臺西鄉,臺西,20.9℃,65,0
2016-3-20,嘉義縣,鹿草鄉,鹿草,24.3℃,59,0
2016-3-21,高雄市,內門區,內門,29.2℃,56,0
2016-3-22,新北市,三芝區,田寮,13.6℃,94,12.5
2016-3-23,雲林縣,水林鄉,水林,20.9℃,69,0
2016-3-24,新竹縣,湖口鄉,湖口,13.6℃,88,1
2016-3-25,高雄市,茄萣區,茄萣,23.1℃,76,0
2016-3-26,宜蘭縣,冬山鄉,冬山,17℃,93,0
2016-3-27,宜蘭縣,礁溪鄉,礁溪,17.6℃,71,0
2016-3-28,屏東縣,里港鄉,里港,27.8℃,66,0
2016-3-29,屏東縣,長治鄉,長治,-99℃,-9900,0
2016-3-30,臺南市,白河區,鹿寮,23℃,74,0
2016-3-31,宜蘭縣,壯圍鄉,大福,17.3℃,79,0
2016-4-1,臺東縣,達仁鄉,達仁林場,17.9℃,97,0
2016-4-2,雲林縣,東勢鄉,雲林東勢,19.9℃,71,0
2016-4-3,屏東縣,牡丹鄉,四林格山,19.2℃,94,0
2016-4-4,屏東縣,牡丹鄉,牡丹,22.8℃,79,0
2016-4-5,嘉義縣,布袋鎮,布袋,21.4℃,69,0
2016-4-6,南投縣,竹山鎮,竹山,24.6℃,66,0
2016-4-7,高雄市,田寮區,古亭坑,26.4℃,67,0
2016-4-8,桃園市,龜山區,國一五楊N44K,12.5℃,85,8
2016-4-9,新北市,坪林區,四堵,13.8℃,88,0
2016-4-10,屏東縣,鹽埔鄉,鹽埔,28.3℃,73,-99
2016-4-11,臺東縣,臺東市,知本(水試所),22.7℃,72,0
2016-4-12,南投縣,中寮鄉,中寮,24.2℃,59,-99
2016-4-13,臺南市,龍崎區,崎頂,25.1℃,75,0
2016-4-14,苗栗縣,三義鄉,三義,15.3℃,91,2
2016-4-15,新北市,永和區,永和,-99℃,-9900,-99
2016-4-16,屏東縣,來義鄉,白鷺,25.3℃,72,0
2016-4-17,屏東縣,滿州鄉,佳樂水,24.1℃,75,0
2016-4-18,臺南市,白河區,白河,23.4℃,68,0
2016-4-19,新竹縣,峨眉鄉,峨眉,16.6℃,73,5.5
2016-4-20,新北市,蘆洲區,蘆洲,17.6℃,71,-99
2016-4-21,屏東縣,萬巒鄉,來義,26.8℃,69,0
2016-4-22,新北市,三重區,三重,16.3℃,76,3.5
2016-4-23,高雄市,茄萣區,興達,25.1℃,67,0
2016-4-24,新北市,板橋區,板橋,15.6℃,73,5
2016-4-25,宜蘭縣,大同鄉,翠峰湖,7.8℃,100,0
2016-4-26,花蓮縣,壽豐鄉,大坑,15.7℃,94,0
2016-4-27,新竹縣,五峰鄉,雪霸,15.7℃,62,0
2016-4-28,桃園市,大溪區,大溪,14.8℃,77,8
